date,actual_zone_1_power_consumption,predicted_zone_1_power_consumption,actual_zone_2_power_consumption,predicted_zone_2_power_consumption,actual_zone_3_power_consumption,predicted_zone_3_power_consumption
2017-09-12 19:10:00,47322.47788,47516.87,28466.94387,28225.32,21869.17263,21595.041
2017-09-12 19:20:00,47736.63717,47936.11,28740.12474,28656.494,21875.05618,21798.66
2017-09-12 19:30:00,47723.89381,47890.062,28612.88981,28589.795,21810.33708,21693.25
2017-09-12 19:40:00,47679.29204,47794.1,28444.49064,28476.51,21763.26864,21653.729
2017-09-12 19:50:00,47475.39823,47521.86,28553.01455,28386.074,21669.13177,21484.42
2017-09-12 20:00:00,47258.76106,47486.215,28257.38046,28369.277,21622.06333,21422.848
2017-09-12 20:10:00,47551.85841,47431.22,28066.52807,28069.18,21604.41267,21401.016
2017-09-12 20:20:00,47398.93805,47540.58,28272.34927,28159.354,21810.33708,21561.307
2017-09-12 20:30:00,47188.67257,47454.598,28032.84823,28163.043,21857.40552,21563.465
2017-09-12 20:40:00,47175.9292,47436.395,28133.88773,28128.197,21922.12462,21565.291
2017-09-12 20:50:00,46825.48673,46905.13,27673.59667,27910.379,21992.72727,21872.219
2017-09-12 21:00:00,46048.14159,46431.996,27815.80042,27704.717,22039.79571,21895.748
2017-09-12 21:10:00,45933.45133,46155.586,27733.47193,27749.896,21910.35751,21829.152
2017-09-12 21:20:00,45774.15929,46024.31,27407.90021,27555.898,21763.26864,21450.137
2017-09-12 21:30:00,45187.9646,45538.17,27123.49272,27199.934,21392.6047,21285.125
2017-09-12 21:40:00,44340.53097,44438.25,26618.29522,26755.643,21269.05005,21120.11
2017-09-12 21:50:00,43958.23009,43895.418,26472.34927,26461.75,21198.4474,21066.79
2017-09-12 22:00:00,43690.61947,43911.17,26034.51143,26325.35,20892.50255,20929.81
2017-09-12 22:10:00,42620.17699,42875.055,25675.25988,25792.477,20774.83146,20631.389
2017-09-12 22:20:00,41932.0354,41741.934,25143.86694,25293.262,20192.35955,20182.129
2017-09-12 22:30:00,41116.46018,41131.625,24627.44283,24721.266,19562.8192,19530.758
2017-09-12 22:40:00,40294.51327,40269.727,23965.07277,23929.703,19239.2237,19128.785
2017-09-12 22:50:00,39134.86726,39328.574,23254.05405,23327.06,18815.60776,18855.904
2017-09-12 23:00:00,38089.9115,38057.344,22819.95842,22781.756,18209.60163,18251.172
2017-09-12 23:10:00,37204.24779,37071.09,22363.40956,22400.24,17750.68437,17707.574
2017-09-12 23:20:00,36407.78761,36582.848,21764.65696,21690.496,17444.73953,17372.752
2017-09-12 23:30:00,35573.09735,35615.645,21195.842,21069.104,17091.72625,17083.805
2017-09-12 23:40:00,34897.69912,34767.336,20941.37214,20900.88,16768.13075,16783.232
2017-09-12 23:50:00,34024.77876,34020.43,20237.83784,20210.455,16391.58325,16472.432
